species,sepal_length,sepal_width,petal_length,petal_width
virginica,7.185541580772553,2.7920000000000003,5.400690179078171,1.9377696791993515
virginica,6.088,2.911079502420654,5.936333333333334,2.092
versicolor,6.112,2.9053056993142885,4.072900452761336,1.2462017554508917
setosa,5.019245679493323,3.450518132262941,1.4247329308076495,0.21311211454573023
virginica,6.549278687903084,3.2926280459892374,5.600489565406552,1.9539488723601173
virginica,5.575253556650217,2.6089219145775684,5.468797965832529,2.108
setosa,4.888,4.178908070500587,1.4916338983738031,0.21684580044338894
setosa,4.796174755379654,3.192,1.4273326725709612,0.2758066076722221
virginica,5.171370936722121,2.6084584930361245,6.0448191911851605,2.0315704725588346
virginica,7.509947051155171,2.335125914676504,4.75665009019398,2.15024322939163
versicolor,5.378674392058136,2.8080000000000003,3.830598037594806,1.2741599681586484
setosa,4.921618383948826,3.5920000000000005,1.413378474080327,0.9745762564455065
versicolor,7.0,2.4472478363039447,4.077436937999306,1.308
virginica,5.538157942083918,3.3935311818902805,5.766000977144481,2.061810767379393
virginica,7.075077490269207,3.065120680628261,5.532783522976658,2.108
versicolor,6.073623235070889,2.7229075246967094,4.871970351790509,1.0
setosa,4.882000000000001,2.9343501174574085,1.5404613859865963,0.20349917641144188
setosa,4.888,3.4791499447213856,1.5562627582643427,0.27463611181469705
setosa,5.080267340813852,3.0872608427536172,1.4665251088183309,0.20737338679550965
setosa,6.076,3.6080000000000005,1.3442564830252652,0.25150002328832194
setosa,4.912,3.364631161546607,1.3862177142872505,0.23449780613775367
versicolor,5.896357817071341,3.1774860191543914,4.519011220902408,1.292
versicolor,4.9,2.412,4.419259534418021,1.3454310316108253
versicolor,6.154089297278337,2.7920000000000003,4.256455052698752,1.236206490924503
versicolor,5.407591208038196,2.8647458092131726,3.3390692068015846,1.308
setosa,4.918,3.555808106576419,1.3829220312891988,0.23805243330797782
setosa,4.881133466082083,3.5920000000000005,1.3663474072478548,0.20595441365223094
versicolor,5.808486023831879,2.8080000000000003,4.953,1.308
virginica,6.606442179281162,3.212,5.887166666666667,1.8140263691350267
setosa,4.53167656219817,3.859137041766603,1.5389742834995812,0.2458362613072397
virginica,6.088,3.8,5.799989281375587,2.484
virginica,6.712,3.208,5.439325304973667,1.95335520488697
virginica,6.655681115839511,2.3196203901247094,4.899567353398356,2.108
setosa,5.429587615768139,3.192,1.4397539755884867,0.27185340086467713
setosa,5.008666850037071,3.7723640114303674,1.2899674233831102,0.24738938277260755
versicolor,6.088,2.7920000000000003,3.930333333333334,1.308
versicolor,6.018759245476243,2.7224964896697545,4.802486902013539,1.33764818764899
versicolor,5.856600751432835,2.368848638914596,3.82182337525643,1.308
setosa,4.7350296406235275,3.6080000000000005,1.4304861590897706,0.21281818188978785
virginica,6.329135175631492,3.295733326971882,5.936333333333334,2.195592255455985
versicolor,6.112,2.8430292557610968,4.280301670242057,1.292
versicolor,6.112,2.781414358793117,3.724917289107009,1.612198512896222
setosa,5.569739963031794,4.008,1.479466048187737,0.21122683950168658
setosa,4.332670740011416,3.6120000000000005,1.40591672940539,0.21356917269783032
versicolor,6.112,2.8735036316614573,4.151238642054663,1.3722253790426593
virginica,7.276000000000001,3.188,6.0641580045411185,1.692
versicolor,6.472599395961548,2.8080000000000003,4.894,1.366219544796019
virginica,6.430535442021902,3.017311376173041,5.869483146793011,2.048235553864771
virginica,5.9651975008004365,3.070290386752606,6.089904664374031,2.484
versicolor,7.0,2.7278238676706685,4.18942525306954,1.292
versicolor,6.7611370938000865,2.8859404574040575,4.279065479781484,1.308
versicolor,4.9,2.7920000000000003,4.8105542554038365,1.292
versicolor,6.160188029886953,2.4613229045871106,4.894,1.292
versicolor,5.419003626166777,2.042198859419264,3.8188990319726863,1.292
versicolor,5.518,2.7920000000000003,4.469597125764722,1.292
versicolor,5.234373126049533,2.623737036453965,4.159564105604813,1.8
setosa,5.645136982823244,2.640270364930059,1.4919672374762794,0.23581057393559934
setosa,4.912,3.3368615059442255,1.548555154106334,0.20185548156815142
versicolor,6.112,2.7920000000000003,4.85975164962037,1.6694453812548582
setosa,6.076,3.212,1.4034890585128779,0.26519378995372844
setosa,5.167645925609527,3.516651587631205,1.4502038243612008,0.2088940656947219
setosa,4.912,3.458874350792512,1.4360795245951865,0.2529568017989937
virginica,7.276000000000001,2.7857401754529962,5.348123902585189,1.9263191518260812
versicolor,6.112,3.35263856126813,4.300164190607667,1.292
virginica,6.6632951646571925,2.9676835624452904,2.9273333333333333,2.455848932491264
versicolor,5.6683767708921105,2.9346600381794086,4.202181347570355,1.308
setosa,4.888,3.6080000000000005,1.449861058823306,0.2296939665505507
virginica,6.088,2.9281580486016234,5.612858592353887,2.1704838044524366
versicolor,5.730088046790739,2.924944933792941,3.7676796963866153,1.373554140966343
versicolor,6.88640161248893,2.7611426129452226,4.118309354245422,1.2596234759195495
setosa,5.170994001437366,3.5684713565391633,1.4641114029446016,0.23216314463059456
virginica,7.264361449161229,2.5571312301154587,5.679059420835597,1.8540617394671266
versicolor,6.144112713458354,2.6716862408983393,4.171404592296519,1.8037746754483714
versicolor,4.9,2.416,4.953,1.4626279358889636
virginica,6.6599748593403545,2.87463705208804,5.969832565478691,2.092
versicolor,6.076,2.7714738737438265,4.57189784141749,1.292
virginica,6.682,2.8922624902379455,5.670544906941344,1.993935918493911
virginica,7.148243914587925,2.908397994188375,5.936333333333334,1.978819338378364
virginica,6.688000000000001,3.005310744525596,5.064139222846747,2.187338998675379
virginica,5.591069308729742,2.8597255776834056,6.01173366620019,2.021041647523857
setosa,4.924,3.6211829549811125,1.3465168014681659,0.2923485843312551
versicolor,6.112,2.7358948976156547,3.7241024009636963,1.3250659127786277
setosa,4.888,2.9698642026719106,1.318278592448483,0.27940068200133833
virginica,7.5046541090433765,2.933623657394824,6.017903664194457,2.1363482115000685
setosa,4.912,3.0896232746874586,1.442555429531455,0.29375349542833146
setosa,5.666141747927824,3.192,1.562911150966718,0.2607905228899232
virginica,6.3089070762842425,3.8,5.240931182498881,2.108
setosa,4.918,4.016,1.4550031856277645,0.19672605702009444
versicolor,6.0403091534623465,2.563790273990308,4.242760143456602,1.4694062360529838
versicolor,5.9813114789222235,2.8201567712582434,3.9696666666666673,1.2028934079683624
versicolor,4.9,2.7920000000000003,4.186626456996436,1.4661577042560923
virginica,6.936162235985745,2.7920000000000003,5.383497471395833,1.716
versicolor,6.602657830099137,3.212,4.52840506108687,1.6127487985322786
virginica,6.899884636647598,2.8080000000000003,5.667465961279608,1.0747505290538195
virginica,7.312,2.8080000000000003,5.800088737667934,2.4412002963143626
setosa,4.912,3.616996600958028,1.408452682539289,0.23500770085989345
setosa,5.059694179218266,3.383211974579626,1.5791768872366203,0.1659345062222808
versicolor,5.88310419690556,2.8080000000000003,3.9205000000000005,1.4103980098038107
setosa,4.888,3.7396317600948183,1.4331890302621189,0.20054636914647772
virginica,5.887388227130851,3.0213139621931857,5.771502538695236,1.692
setosa,4.823155140781536,3.15482343997438,1.4333424438782496,0.18369461725507025
versicolor,7.0,2.8311950999624798,4.509529814853248,1.3785000928553446
virginica,6.498444664209757,2.9096179447470476,5.422593788111191,2.108
versicolor,5.915533870070242,2.7920000000000003,3.1917597726293736,1.2522640999893584
virginica,6.712,3.208,5.4933946556898,2.0456258604101434
